Err?=(aucune)/besoin |/:Err?=(aucune)/besoin:Réinstallation:(État,Err::majuscule=mauvais) 
Nom ||/:Nom:Version:Architecture:Description 
bogofilter-common ii:bogofilter-common:1.2.5-1:amd64:fast:Bayesian:spam:filter:(common:files) 1.2.51
bolt ii:bolt:0.9.1-1:amd64:system:daemon:to:manage:thunderbolt:3:devices 0.9.11
brasero-common ii:brasero-common:3.12.2-6:all:Common:files:for:the:Brasero:CD:burning:application:and:library 3.12.26
bsdextrautils ii:bsdextrautils:2.36.1-8+deb11u1:amd64:extra:utilities:from:4.4BSD-Lite 2.36.18
bsdutils ii:bsdutils:1:2.36.1-8+deb11u1:amd64:basic:utilities:from:4.4BSD-Lite 12.36.18
bubblewrap ii:bubblewrap:0.4.1-3:amd64:utility:for:unprivileged:chroot:and:namespace:manipulation 0.4.13
build-essential ii:build-essential:12.9:amd64:Informational:list:of:build-essential:packages 12.9
busybox ii:busybox:1:1.30.1-6+b3:amd64:Tiny:utilities:for:small:and:embedded:systems 11.30.16
bzip2 ii:bzip2:1.0.8-4:amd64:high-quality:block-sorting:file:compressor:-:utilities 1.0.84
ca-certificates ii:ca-certificates:20210119:all:Common:CA:certificates 20210119
caribou ii:caribou:0.4.21-7.1:amd64:Configurable:on:screen:keyboard:with:scanning:mode 0.4.217.1
cdrdao ii:cdrdao:1:1.2.4-2:amd64:records:CDs:in:Disk-At-Once:(DAO):mode 11.2.42
cheese ii:cheese:3.38.0-3:amd64:tool:to:take:pictures:and:videos:from:your:webcam 3.38.03
cheese-common ii:cheese-common:3.38.0-3:all:Common:files:for:the:Cheese:tool:to:take:pictures:and:videos 3.38.03
chrome-gnome-shell ii:chrome-gnome-shell:10.1-5:all:GNOME:Shell:extensions:integration:for:web:browsers 10.15
coinor-libcbc3:amd64 ii:coinor-libcbc3:amd64:2.10.5+ds1-3:amd64:Coin-or:branch-and-cut:mixed:integer:programming:solver:(shared:libraries) 2.10.5
coinor-libcgl1 ii:coinor-libcgl1:0.60.3+repack1-2:amd64:COIN-OR:Cut:Generation:Library 0.60.3
coinor-libclp1 ii:coinor-libclp1:1.17.5+repack1-1:amd64:Coin-or:linear:programming:solver:(shared:libraries) 1.17.5
coinor-libcoinmp1v5:amd64 ii:coinor-libcoinmp1v5:amd64:1.8.3-3:amd64:Simple:C:API:for:COIN-OR:Solvers:Clp:and:Cbc:--:library 1.8.33
coinor-libcoinutils3v5 ii:coinor-libcoinutils3v5:2.11.4+repack1-1:amd64:Coin-or:collection:of:utility:classes:(binaries:and:libraries) 2.11.4
coinor-libosi1v5:amd64 ii:coinor-libosi1v5:amd64:0.108.6+repack1-2:amd64:COIN-OR:Open:Solver:Interface 0.108.6
colord ii:colord:1.4.5-3:amd64:system:service:to:manage:device:colour:profiles:--:system:daemon 1.4.53
colord-data ii:colord-data:1.4.5-3:all:system:service:to:manage:device:colour:profiles:--:data:files 1.4.53
console-setup ii:console-setup:1.205:all:console:font:and:keymap:setup:program 1.205
console-setup-linux ii:console-setup-linux:1.205:all:Linux:specific:part:of:console-setup 1.205
coreutils ii:coreutils:8.32-4+b1:amd64:GNU:core:utilities 8.324
cpio ii:cpio:2.13+dfsg-4:amd64:GNU:cpio:--:a:program:to:manage:archives:of:files 2.13
cpp ii:cpp:4:10.2.1-1:amd64:GNU:C:preprocessor:(cpp) 410.2.11
cpp-10 ii:cpp-10:10.2.1-6:amd64:GNU:C:preprocessor 10.2.16
cracklib-runtime ii:cracklib-runtime:2.9.6-3.4:amd64:runtime:support:for:password:checker:library:cracklib2 2.9.63.4
cron ii:cron:3.0pl1-137:amd64:process:scheduling:daemon 3.01137
cups ii:cups:2.3.3op2-3+deb11u2:amd64:Common:UNIX:Printing:System(tm):-:PPD/driver:support,:web:interface 2.3.323
cups-browsed ii:cups-browsed:1.28.7-1+deb11u1:amd64:OpenPrinting:CUPS:Filters:-:cups-browsed 1.28.71
cups-client ii:cups-client:2.3.3op2-3+deb11u2:amd64:Common:UNIX:Printing:System(tm):-:client:programs:(SysV) 2.3.323
cups-common ii:cups-common:2.3.3op2-3+deb11u2:all:Common:UNIX:Printing:System(tm):-:common:files 2.3.323
cups-core-drivers ii:cups-core-drivers:2.3.3op2-3+deb11u2:amd64:Common:UNIX:Printing:System(tm):-:driverless:printing 2.3.323
cups-daemon ii:cups-daemon:2.3.3op2-3+deb11u2:amd64:Common:UNIX:Printing:System(tm):-:daemon 2.3.323
cups-filters ii:cups-filters:1.28.7-1+deb11u1:amd64:OpenPrinting:CUPS:Filters:-:Main:Package 1.28.71
cups-filters-core-drivers ii:cups-filters-core-drivers:1.28.7-1+deb11u1:amd64:OpenPrinting:CUPS:Filters:-:Driverless:printing 1.28.71
cups-ipp-utils ii:cups-ipp-utils:2.3.3op2-3+deb11u2:amd64:Common:UNIX:Printing:System(tm):-:IPP:developer/admin:utilities 2.3.323
cups-pk-helper ii:cups-pk-helper:0.2.6-1+b1:amd64:PolicyKit:helper:to:configure:cups:with:fine-grained:privileges 0.2.61
cups-ppdc ii:cups-ppdc:2.3.3op2-3+deb11u2:amd64:Common:UNIX:Printing:System(tm):-:PPD:manipulation:utilities 2.3.323
cups-server-common ii:cups-server-common:2.3.3op2-3+deb11u2:all:Common:UNIX:Printing:System(tm):-:server:common:files 2.3.323
dash ii:dash:0.5.11+git20200708+dd9ef66-5:amd64:POSIX-compliant:shell 0.5.11
dbus ii:dbus:1.12.24-0+deb11u1:amd64:simple:interprocess:messaging:system:(daemon:and:utilities) 1.12.240
dbus-user-session ii:dbus-user-session:1.12.24-0+deb11u1:amd64:simple:interprocess:messaging:system:(systemd:--user:integration) 1.12.240
dbus-x11 ii:dbus-x11:1.12.24-0+deb11u1:amd64:simple:interprocess:messaging:system:(X11:deps) 1.12.240
dconf-cli ii:dconf-cli:0.38.0-2:amd64:simple:configuration:storage:system:-:utilities 0.38.02
dconf-gsettings-backend:amd64 ii:dconf-gsettings-backend:amd64:0.38.0-2:amd64:simple:configuration:storage:system:-:GSettings:back-end 0.38.02
dconf-service ii:dconf-service:0.38.0-2:amd64:simple:configuration:storage:system:-:D-Bus:service 0.38.02
debconf ii:debconf:1.5.77:all:Debian:configuration:management:system 1.5.77
debconf-i18n ii:debconf-i18n:1.5.77:all:full:internationalization:support:for:debconf 1.5.77
debian-archive-keyring ii:debian-archive-keyring:2021.1.1:all:GnuPG:archive:keys:of:the:Debian:archive 2021.1.1
debian-faq ii:debian-faq:10.1:all:Debian:Frequently:Asked:Questions 10.1
debianutils ii:debianutils:4.11.2:amd64:Miscellaneous:utilities:specific:to:Debian 4.11.2
desktop-base ii:desktop-base:11.0.3:all:common:files:for:the:Debian:Desktop 11.0.3
desktop-file-utils ii:desktop-file-utils:0.26-1:amd64:Utilities:for:.desktop:files 0.261
dictionaries-common ii:dictionaries-common:1.28.4:all:spelling:dictionaries:-:common:utilities 1.28.4
diffutils ii:diffutils:1:3.7-5:amd64:File:comparison:utilities 13.75
dirmngr ii:dirmngr:2.2.27-2+deb11u2:amd64:GNU:privacy:guard:-:network:certificate:management:service 2.2.272
discover ii:discover:2.1.2-8:amd64:hardware:identification:system 2.1.28
discover-data ii:discover-data:2.2013.01.11+nmu1:all:Data:lists:for:Discover:hardware:detection:system 2.2013.01.11
distro-info-data ii:distro-info-data:0.51+deb11u3:all:information:about:the:distributions':releases:(data:files) 0.51
dleyna-server ii:dleyna-server:0.6.0-2:amd64:DBus:service:to:interact:with:DLNA:Digital:Media:Servers 0.6.02
dmidecode ii:dmidecode:3.3-2:amd64:SMBIOS/DMI:table:decoder 3.32
dmsetup ii:dmsetup:2:1.02.175-2.1:amd64:Linux:Kernel:Device:Mapper:userspace:library 21.02.1752.1
dns-root-data ii:dns-root-data:2021011101:all:DNS:root:data:including:root:zone:and:DNSSEC:key 2021011101
dnsmasq-base ii:dnsmasq-base:2.85-1:amd64:Small:caching:DNS:proxy:and:DHCP/TFTP:server 2.851
doc-debian ii:doc-debian:6.5:all:Debian:Project:documentation:and:other:documents 6.5
docbook-xml ii:docbook-xml:4.5-9:all:standard:XML:documentation:system:for:software:and:systems 4.59
dosfstools ii:dosfstools:4.2-1:amd64:utilities:for:making:and:checking:MS-DOS:FAT:filesystems 4.21
dpkg ii:dpkg:1.20.12:amd64:Debian:package:management:system 1.20.12
dpkg-dev ii:dpkg-dev:1.20.12:all:Debian:package:development:tools 1.20.12
e2fsprogs ii:e2fsprogs:1.46.2-2:amd64:ext2/ext3/ext4:file:system:utilities 1.46.22
eject ii:eject:2.36.1-8+deb11u1:amd64:ejects:CDs:and:operates:CD-Changers:under:Linux 2.36.18
emacsen-common ii:emacsen-common:3.0.4:all:Common:facilities:for:all:emacsen 3.0.4
enchant-2 ii:enchant-2:2.2.15-1:amd64:Wrapper:for:various:spell:checker:engines:(binary:programs) 2.2.151
eog ii:eog:3.38.2-1:amd64:Eye:of:GNOME:graphics:viewer:program 3.38.21
espeak-ng-data:amd64 ii:espeak-ng-data:amd64:1.50+dfsg-7+deb11u1:amd64:Multi-lingual:software:speech:synthesizer::speech:data:files 1.50
ethtool ii:ethtool:1:5.9-1:amd64:display:or:change:Ethernet:device:settings 15.91
evince ii:evince:3.38.2-1:amd64:Document:(PostScript,:PDF):viewer 3.38.21
evince-common ii:evince-common:3.38.2-1:all:Document:(PostScript,:PDF):viewer:-:common:files 3.38.21
evolution ii:evolution:3.38.3-1+deb11u1:amd64:groupware:suite:with:mail:client:and:organizer 3.38.31
evolution-common ii:evolution-common:3.38.3-1+deb11u1:all:architecture:independent:files:for:Evolution 3.38.31
evolution-data-server ii:evolution-data-server:3.38.3-1+deb11u2:amd64:evolution:database:backend:server 3.38.31
evolution-data-server-common ii:evolution-data-server-common:3.38.3-1+deb11u2:all:architecture:independent:files:for:Evolution:Data:Server 3.38.31
evolution-plugin-bogofilter ii:evolution-plugin-bogofilter:3.38.3-1+deb11u1:amd64:standard:plugins:for:Evolution:(bogofilter) 3.38.31
evolution-plugin-pstimport ii:evolution-plugin-pstimport:3.38.3-1+deb11u1:amd64:standard:plugins:for:Evolution:(pstimport) 3.38.31
evolution-plugins ii:evolution-plugins:3.38.3-1+deb11u1:amd64:standard:plugins:for:Evolution 3.38.31
exfatprogs ii:exfatprogs:1.1.0-1:amd64:tools:to:create,:check:and:label:exFAT:filesystems 1.1.01
fakeroot ii:fakeroot:1.25.3-1.1:amd64:tool:for:simulating:superuser:privileges 1.25.31.1
fdisk ii:fdisk:2.36.1-8+deb11u1:amd64:collection:of:partitioning:utilities 2.36.18
file ii:file:1:5.39-3:amd64:Recognize:the:type:of:data:in:a:file:using:"magic":numbers 15.393
file-roller ii:file-roller:3.38.1-1:amd64:archive:manager:for:GNOME 3.38.11
findutils ii:findutils:4.8.0-1:amd64:utilities:for:finding:files--find,:xargs 4.8.01
firefox-esr ii:firefox-esr:102.9.0esr-1~deb11u1:amd64:Mozilla:Firefox:web:browser:-:Extended:Support:Release:(ESR) 102.9.01111
firefox-esr-l10n-fr ii:firefox-esr-l10n-fr:102.9.0esr-1~deb11u1:all:French:language:package:for:Firefox:ESR 102.9.01111
firmware-linux-free ii:firmware-linux-free:20200122-1:all:Binary:firmware:for:various:drivers:in:the:Linux:kernel 202001221
five-or-more ii:five-or-more:1:3.32.2-1:amd64:make:color:lines:of:five:or:more:length 13.32.21
folks-common ii:folks-common:0.14.0-1:all:library:to:aggregates:people:into:metacontacts:(common:files) 0.14.01
fontconfig ii:fontconfig:2.13.1-4.2:amd64:generic:font:configuration:library:-:support:binaries 2.13.14.2
fontconfig-config ii:fontconfig-config:2.13.1-4.2:all:generic:font:configuration:library:-:configuration 2.13.14.2
fonts-cantarell ii:fonts-cantarell:0.111-3:all:sans:serif:font:family:designed:for:on-screen:readability 0.1113
fonts-dejavu ii:fonts-dejavu:2.37-2:all:metapackage:to:pull:in:fonts-dejavu-core:and:fonts-dejavu-extra 2.372
fonts-dejavu-core ii:fonts-dejavu-core:2.37-2:all:Vera:font:family:derivate:with:additional:characters 2.372
fonts-dejavu-extra ii:fonts-dejavu-extra:2.37-2:all:Vera:font:family:derivate:with:additional:characters:(extra:variants) 2.372
fonts-droid-fallback ii:fonts-droid-fallback:1:6.0.1r16-1.1:all:handheld:device:font:with:extensive:style:and:language:support:(fallback) 16.0.1161.1
fonts-liberation2 ii:fonts-liberation2:2.1.3-1:all:Fonts:with:the:same:metrics:as:Times,:Arial:and:Courier:(v2) 2.1.31
fonts-noto-color-emoji ii:fonts-noto-color-emoji:0~20200916-1:all:color:emoji:font:from:Google 0202009161
fonts-noto-mono ii:fonts-noto-mono:20201225-1:all:"No:Tofu":monospaced:font:family:with:large:Unicode:coverage 202012251
fonts-opensymbol ii:fonts-opensymbol:2:102.11+LibO7.0.4-4+deb11u4:all:OpenSymbol:TrueType:font 2102.11
fonts-quicksand ii:fonts-quicksand:0.2016-2.1:all:sans-serif:font:with:round:attributes 0.20162.1
fonts-symbola ii:fonts-symbola:2.60-1.1:all:symbolic:font:providing:emoji:characters:from:Unicode:9.0 2.601.1
fonts-urw-base35 ii:fonts-urw-base35:20200910-1:all:font:set:metric-compatible:with:the:35:PostScript:Level:2:Base:Fonts 202009101
four-in-a-row ii:four-in-a-row:1:3.38.1-1:amd64:Four:in:a:Row:game:for:GNOME 13.38.11
fuse3 ii:fuse3:3.10.3-2:amd64:Filesystem:in:Userspace:(3.x:version) 3.10.32
fwupd ii:fwupd:1.5.7-4:amd64:Firmware:update:daemon 1.5.74
fwupd-amd64-signed ii:fwupd-amd64-signed:1.5.7+4:amd64:Tools:to:manage:UEFI:firmware:updates:(signed) 1.5.7
g++ ii:g++:4:10.2.1-1:amd64:GNU:C++:compiler 410.2.11
g++-10 ii:g++-10:10.2.1-6:amd64:GNU:C++:compiler 10.2.16
gcc ii:gcc:4:10.2.1-1:amd64:GNU:C:compiler 410.2.11
gcc-10 ii:gcc-10:10.2.1-6:amd64:GNU:C:compiler 10.2.16
gcc-10-base:amd64 ii:gcc-10-base:amd64:10.2.1-6:amd64:GCC,:the:GNU:Compiler:Collection:(base:package) 10.2.16
gcc-9-base:amd64 ii:gcc-9-base:amd64:9.3.0-22:amd64:GCC,:the:GNU:Compiler:Collection:(base:package) 9.3.022
gcr ii:gcr:3.38.1-2:amd64:GNOME:crypto:services:(daemon:and:tools) 3.38.12
gdisk ii:gdisk:1.0.6-1.1:amd64:GPT:fdisk:text-mode:partitioning:tool 1.0.61.1
gdm3 ii:gdm3:3.38.2.1-1:amd64:GNOME:Display:Manager 3.38.2.11
gedit ii:gedit:3.38.1-1:amd64:official:text:editor:of:the:GNOME:desktop:environment 3.38.11
gedit-common ii:gedit-common:3.38.1-1:all:official:text:editor:of:the:GNOME:desktop:environment:(support:files) 3.38.11
gedit-plugin-bookmarks ii:gedit-plugin-bookmarks:3.38.1-1:amd64:Bookmarks:plugin:for:gedit 3.38.11
gedit-plugin-bracket-completion ii:gedit-plugin-bracket-completion:3.38.1-1:amd64:Bracket:Completion:plugin:for:gedit 3.38.11
gedit-plugin-character-map ii:gedit-plugin-character-map:3.38.1-1:amd64:Character:Map:plugin:for:gedit 3.38.11
gedit-plugin-code-comment ii:gedit-plugin-code-comment:3.38.1-1:amd64:Code:Comment:plugin:for:gedit 3.38.11
gedit-plugin-color-picker ii:gedit-plugin-color-picker:3.38.1-1:amd64:Color:Picker:plugin:for:gedit 3.38.11
gedit-plugin-color-schemer ii:gedit-plugin-color-schemer:3.38.1-1:amd64:Color:Schemer:plugin:for:gedit 3.38.11
gedit-plugin-commander ii:gedit-plugin-commander:3.38.1-1:amd64:Commander:plugin:for:gedit 3.38.11
gedit-plugin-draw-spaces ii:gedit-plugin-draw-spaces:3.38.1-1:amd64:Draw:Spaces:plugin:for:gedit 3.38.11
gedit-plugin-find-in-files ii:gedit-plugin-find-in-files:3.38.1-1:amd64:Find:in:Files:plugin:for:gedit 3.38.11
gedit-plugin-git ii:gedit-plugin-git:3.38.1-1:amd64:Git:plugin:for:gedit 3.38.11
gedit-plugin-join-lines ii:gedit-plugin-join-lines:3.38.1-1:amd64:Join/Split:Lines:plugin:for:gedit 3.38.11
gedit-plugin-multi-edit ii:gedit-plugin-multi-edit:3.38.1-1:amd64:Multi:Edit:plugin:for:gedit 3.38.11
gedit-plugin-session-saver ii:gedit-plugin-session-saver:3.38.1-1:amd64:Session:Saver:plugin:for:gedit 3.38.11
gedit-plugin-smart-spaces ii:gedit-plugin-smart-spaces:3.38.1-1:amd64:Smart:Spaces:plugin:for:gedit 3.38.11
gedit-plugin-synctex ii:gedit-plugin-synctex:3.38.1-1:amd64:SyncTex:plugin:for:gedit 3.38.11
gedit-plugin-terminal ii:gedit-plugin-terminal:3.38.1-1:amd64:Terminal:plugin:for:gedit 3.38.11
gedit-plugin-text-size ii:gedit-plugin-text-size:3.38.1-1:amd64:Text:Size:plugin:for:gedit 3.38.11
gedit-plugin-translate ii:gedit-plugin-translate:3.38.1-1:amd64:Translate:plugin:for:gedit 3.38.11
gedit-plugin-word-completion ii:gedit-plugin-word-completion:3.38.1-1:amd64:Word:Completion:plugin:for:gedit 3.38.11
gedit-plugins ii:gedit-plugins:3.38.1-1:all:set:of:plugins:for:gedit 3.38.11
gedit-plugins-common ii:gedit-plugins-common:3.38.1-1:amd64:common:files:for:gedit-plugins 3.38.11
geoclue-2.0 ii:geoclue-2.0:2.5.7-3:amd64:geoinformation:service 2.5.73
gettext-base ii:gettext-base:0.21-4:amd64:GNU:Internationalization:utilities:for:the:base:system 0.214
ghostscript ii:ghostscript:9.53.3~dfsg-7+deb11u2:amd64:interpreter:for:the:PostScript:language:and:for:PDF 9.53.37
gir1.2-accountsservice-1.0:amd64 ii:gir1.2-accountsservice-1.0:amd64:0.6.55-3:amd64:GObject:introspection:data:for:AccountService 0.6.553
gir1.2-atk-1.0:amd64 ii:gir1.2-atk-1.0:amd64:2.36.0-2:amd64:ATK:accessibility:toolkit:(GObject:introspection) 2.36.02
gir1.2-atspi-2.0:amd64 ii:gir1.2-atspi-2.0:amd64:2.38.0-4:amd64:Assistive:Technology:Service:Provider:(GObject:introspection) 2.38.04
gir1.2-caribou-1.0 ii:gir1.2-caribou-1.0:0.4.21-7.1:amd64:GObject:introspection:for:the:Caribou:library 0.4.217.1
gir1.2-champlain-0.12:amd64 ii:gir1.2-champlain-0.12:amd64:0.12.20-1:amd64:C:library:providing:ClutterActor:to:display:maps:(GObject:introspection) 0.12.201
gir1.2-clutter-1.0:amd64 ii:gir1.2-clutter-1.0:amd64:1.26.4+dfsg-2:amd64:GObject:introspection:data:for:the:Clutter:1.0:library 1.26.4
gir1.2-cogl-1.0:amd64 ii:gir1.2-cogl-1.0:amd64:1.22.8-2:amd64:GObject:introspection:data:for:the:Cogl:1.0:library 1.22.82
gir1.2-coglpango-1.0:amd64 ii:gir1.2-coglpango-1.0:amd64:1.22.8-2:amd64:GObject:introspection:data:for:the:CoglPango:1.0:library 1.22.82
gir1.2-dazzle-1.0:amd64 ii:gir1.2-dazzle-1.0:amd64:3.38.0-1:amd64:GObject:introspection:data:for:libdazzle 3.38.01
gir1.2-evince-3.0:amd64 ii:gir1.2-evince-3.0:amd64:3.38.2-1:amd64:GObject:introspection:data:for:the:evince:libraries 3.38.21
gir1.2-freedesktop:amd64 ii:gir1.2-freedesktop:amd64:1.66.1-1+b1:amd64:Introspection:data:for:some:FreeDesktop:components 1.66.11
gir1.2-gck-1:amd64 ii:gir1.2-gck-1:amd64:3.38.1-2:amd64:GObject:introspection:data:for:the:GCK:library 3.38.12
gir1.2-gcr-3:amd64 ii:gir1.2-gcr-3:amd64:3.38.1-2:amd64:GObject:introspection:data:for:the:GCR:library 3.38.12
gir1.2-gdata-0.0:amd64 ii:gir1.2-gdata-0.0:amd64:0.17.13-3:amd64:GObject:introspection:data:for:the:GData:webservices:library 0.17.133
gir1.2-gdesktopenums-3.0:amd64 ii:gir1.2-gdesktopenums-3.0:amd64:3.38.0-2:amd64:GObject:introspection:for:GSettings:desktop-wide:schemas 3.38.02
gir1.2-gdkpixbuf-2.0:amd64 ii:gir1.2-gdkpixbuf-2.0:amd64:2.42.2+dfsg-1+deb11u1:amd64:GDK:Pixbuf:library:-:GObject-Introspection 2.42.2
gir1.2-gdm-1.0:amd64 ii:gir1.2-gdm-1.0:amd64:3.38.2.1-1:amd64:GObject:introspection:data:for:the:GNOME:Display:Manager 3.38.2.11
gir1.2-geoclue-2.0:amd64 ii:gir1.2-geoclue-2.0:amd64:2.5.7-3:amd64:convenience:library:to:interact:with:geoinformation:service:(introspection) 2.5.73
gir1.2-geocodeglib-1.0:amd64 ii:gir1.2-geocodeglib-1.0:amd64:3.26.2-2:amd64:introspection:data:for:geocode-glib:library 3.26.22
gir1.2-gfbgraph-0.2:amd64 ii:gir1.2-gfbgraph-0.2:amd64:0.2.4-1:amd64:GObject:library:for:Facebook:Graph:API:-:GObject:introspection 0.2.41
gir1.2-ggit-1.0:amd64 ii:gir1.2-ggit-1.0:amd64:0.99.0.1-1+b1:amd64:GObject:introspection:data:for:the:git2-glib-1.0:library 0.99.0.11
gir1.2-glib-2.0:amd64 ii:gir1.2-glib-2.0:amd64:1.66.1-1+b1:amd64:Introspection:data:for:GLib,:GObject,:Gio:and:GModule 1.66.11
gir1.2-gmenu-3.0:amd64 ii:gir1.2-gmenu-3.0:amd64:3.36.0-1:amd64:GObject:introspection:data:for:the:GNOME:menu:library 3.36.01
gir1.2-gnomebluetooth-1.0:amd64 ii:gir1.2-gnomebluetooth-1.0:amd64:3.34.3-2:amd64:Introspection:data:for:GnomeBluetooth 3.34.32
gir1.2-gnomedesktop-3.0:amd64 ii:gir1.2-gnomedesktop-3.0:amd64:3.38.5-3:amd64:Introspection:data:for:GnomeDesktop 3.38.53
gir1.2-goa-1.0:amd64 ii:gir1.2-goa-1.0:amd64:3.38.0-3:amd64:Introspection:data:for:GNOME:Online:Accounts 3.38.03
gir1.2-graphene-1.0:amd64 ii:gir1.2-graphene-1.0:amd64:1.10.4+dfsg1-1:amd64:library:of:graphic:data:types:(introspection:files) 1.10.4
gir1.2-grilo-0.3:amd64 ii:gir1.2-grilo-0.3:amd64:0.3.13-1+deb11u1:amd64:Framework:for:discovering:and:browsing:media:-:GObject:introspection:data 0.3.131
gir1.2-gst-plugins-bad-1.0:amd64 ii:gir1.2-gst-plugins-bad-1.0:amd64:1.18.4-3:amd64:GObject:introspection:data:for:the:GStreamer:libraries:from:the:"bad":set 1.18.43
gir1.2-gst-plugins-base-1.0:amd64 ii:gir1.2-gst-plugins-base-1.0:amd64:1.18.4-2:amd64:GObject:introspection:data:for:the:GStreamer:Plugins:Base:library 1.18.42
gir1.2-gstreamer-1.0:amd64 ii:gir1.2-gstreamer-1.0:amd64:1.18.4-2.1:amd64:GObject:introspection:data:for:the:GStreamer:library 1.18.42.1
gir1.2-gtk-3.0:amd64 ii:gir1.2-gtk-3.0:amd64:3.24.24-4+deb11u2:amd64:GTK:graphical:user:interface:library:--:gir:bindings 3.24.244
gir1.2-gtkchamplain-0.12:amd64 ii:gir1.2-gtkchamplain-0.12:amd64:0.12.20-1:amd64:Gtk+:widget:to:display:maps:(GObject:introspection) 0.12.201
gir1.2-gtkclutter-1.0:amd64 ii:gir1.2-gtkclutter-1.0:amd64:1.8.4-4:amd64:GObject:introspection:data:for:the:GTK+:Clutter:library 1.8.44
gir1.2-gtksource-4:amd64 ii:gir1.2-gtksource-4:amd64:4.8.0-1:amd64:gir:files:for:the:GTK+:syntax:highlighting:widget 4.8.01
